label,stemmed_text
0,father dysfunct selfish drag kid dysfunct run
0,thank lyft credit cant use caus dont offer wheelchair van pdx disapoint getthank
0,bihday majesti
0,model take ur
0,factsguid societi motiv
0,22 huge fan fare big talk leav chao pay disput get allshowandnogo
0,camp tomorrow danni
0,next school year year exam cant think school exam hate imagin actorslif revolutionschool girl
0,land allin cav champion cleveland clevelandcavali
0,welcom gr8
0,ireland consum price index mom climb previou 02 05 may blog silver gold forex
0,selfish orlando standwithorlando pulseshoot orlandoshoot biggerproblem selfish heabreak valu
0,get see daddi 80day gettingf
1,cnn call michigan middl school build wall chant tcot
1,comment australia opkillingbay seashepherd helpcovedolphin thecov helpcovedolphin
0,ouchjunior angri got7 junior yugyoem omg
0,thank paner thank posit
1,retweet agre
0,friday smile around via ig cooki make peopl
0,know essenti oil made chemic
0,euro2016 peopl blame ha conced goal fat rooney gave away free kick know bale hit
0,sad littl dude badday coneofsham cat piss funni laugh
0,product man wine tool who weekend open drink
1,lumpi say prove lumpi
0,tgif ff gamedev indiedev indiegamedev squad
0,beauti sign vendor 80 4500 upsideofflorida shopalyssa
0,smile media pressconfer antalya turkey sunday throwback
0,great panel mediat public servic ica16
0,father
0,50 peopl went nightclub good night 1 man action mean peopl lost famili forev riporlando
0,never chanc vote presidenti candid excit cycl look differ
0,alohafriday exist positivevib hawaiian
0,rip fellow nohern ireland fan sadley pass away tonight gawa forev sing cheer fire
0,hard monday due cloudi weather disabl oxygen product goodnight badmonday
1,unbeliev 21st centuri wed need someth like neverump xenophobia
0,taylorswift1989 bull domin bull direct whatev want w
0,morn travelingram dalat ripinkylif
0,one word tell photoshop enoughisenough dontphotoshopeveryth wheresallthenaturalphoto
0,oh cedarpoint wait 2 hour valravn line stop work close
0,thank sunshin thank posit
0,final finish book youv work awhil bookworm ontothenextnovel
0,yup knick fan hard easier nba fan playoff roll around
0,social network embrac
0,mom share bihday bihday snake see weekend
0,love echeveria bloomsflow grow garden iphonesia bliss bloom basilicabotanica
0,amaz iam posit affirm
0,model take ur
0,whenev someth goe wrong
0,feel blue illustr
0,best pa know
0,abc2020 get readi 2 remov victum frm pulseclub prayfororlando
0,bihday got nose job bihday petunia
0,concelebr albanpilgrimag first
0,let scumbaggeri begin
0,thank super zpamdelacruz wed dolor capa tarlac
0,scourg play baroqu piec piano beyond belief
1,let fight peac
0,father s mr rayo video father rayo world hotvideo video
0,ascot time babe ascot fashion monochrom style instahappyday
0,weekendi here selfi yolo xoxo like4lik
0,work confer right mindset lead cultureofdevelop organ work mindset
0,christina grimmi last perform shot via christinarip voic christinagrimmi
0,readi danc roar preschool student proud
0,youv realli hu feel
0,wife ador miss poland show surgeri name bridget she everyth
0,jealou right chatiado
0,celebr everi man play fatherli role father
0,sure hour
1,the white establish cant blk folx run around love promot great
0,good morn journey begin travel yeah thejourneybegin hello
0,luv hottweet like venusexchang
0,new brochur arriv excit awork solut
0,much stuff happen florida first orlando shoot disneygatorattack two year old kid
0,ferrari it sake championship gp clearli turn point rb ferrarimerc
0,ace first test proud
0,seek probe udtapunjab leak point finger amarind aap
0,wrap senseaboutmath 6th
1,hey white peopl call peopl white race ident med
0,might shown regurgit talk point name call
0,sometim rais brow rais bar golfstrengthandcondit strong felixfoisgolf
0,greathonour careerconvo
0,design innov learn space includ wateringhol cave mountaintop campfir h
1,altright use insecur lure men whitesupremaci
0,carri gun wouldnt help cant take gun control wont stop black market terror get wors
0,use power mind heal bodi altwaystoh healthi peac
0,woohoo 5 week go
0,far away place famili member hu
0,readi rehears tonight new music new video look announc midweek newmus watchthisspac guitar
0,monday night 8pm channel final get see fuss
0,watch new episod
0,offlin nice long night snapchat redhead vermillionr
0,15 thing incred peopl
0,ye receiv accept letter master back octob goodtim histori
0,daughter ride bike around driveway son play guitar us enjoy campfir summeim memori
0,omg love station way jam work get work done cours memori
0,ill alway hope one ill get hug dont think gon na happen anytim soon
0,model take ur
0,coupl sex fat nake japanes girl
0,hump hump humper edwardsvil pennsylvania
0,personalis gbp 799 get shop cool home fun
0,truli sick ppl
0,trump call obama resign orlando shoot boy point 8 year talk chang
0,long nashvilletour2016 nashvilleforev
0,eurusd clear 11400 barrier jump fresh 4week high blog silver gold forex
0,go la tomorrow
0,thank good friend thank posit
0,still wrap head around fact christinagrimmi gone fact man destroy prayfororlando
0,receiv di cant wait sta bake eyelid
0,play vigilfororlando harp clonakilti rip via
0,ye ye ye ihavenofriend someonecomewithm
0,sunday weekend relax icon woman sundaymorn sunday marilynmonro
1,interest linguist doesnt address race racism power raciolinguist bring
0,one belov long lost cd recov thank appl music
0,marvel song musica weed ripchristina adel danc vine
1,mock obama black brexit
0,spell brexit referendum commerzbank blog silver gold forex
0,100 amaz health benefit cucumb healthi altwaystoh
0,model take ur
0,work ofw pinoy followm iger instagood smile
0,toradora anim animeedit made breakup alon lone
0,50 lap pool 10k ride done pick gym membership form
0,cotd polar bear climb race angri polar bear climb race polar bear live cold place look
0,get angri muslim assassin 50 much
0,snappi wait footbal footbal snapchat
0,friday miss fringesqcbagssumm
0,nochebuena lasvega usa la vega strip
0,fleurett instaboyinstamansefieseptumfriend smilesblackandwhit
0,sad branch it s raini write tear fli bird haiku 3line micropoetri
0,yeah new button mail pretti jewelrymak button
0,driver hit femal moos river rd weston moos kill driver ok crew remov anim
0,afterpa made japan madeinjapan eo cute fun cawaii strawberri tomato
1,peopl arent protest trump republican wonthey trump fuher amp
0,need find way spend alway mind boy guy
0,146604726015 updat social analyt photooftheday iger like
0,anyon know date doj fbi becam corrupt emailg hillary2016 shame disgrac ridicul
0,stupid make even negligencewhi put sachintendulkar instal go take
0,bihday 21thbihday bestfriend love
0,impoant thing enjoy it s matter sho pooh4u
0,bihday chri evan great actor human chrisevan bihday
0,hea thought prayer go 50 peopl murder gay nightclub florida
0,demo guitar new album newalbum indi guitar echobelli
0,retweet lion pro tgif webmaret seo commun manag weekend
0,nzdusd target 100 week sma 07190 blog silver gold forex
0,ive pretti bad bihday week far worst ever bihdayweeksuck bithday27 t
0,bless work sa best lead ladi
0,happiest place eah disneysmagickingdom disney magickingdom disneyland orlando
0,kinda among human
0,found id exclaim gr8 blain hair nite
0,lt3 listen beauti best friend sing amaz voic lt3 lt3 lt3 lt3 17
0,n healthi freedom effo present mere mean effo store past theodor roosevelt
0,know yall 2 aint go know commit trust faith
1,ye call michelleobama gorilla racist long thought black peopl bet
0,newarkfestiv us year wait show sta 3rd year run
0,internet broken cant watch netflix mochithepug puglif
0,thatthen whatbusi usual
0,hbd dick suckin tequila lovin slut wouldnt want way justalil butstillontim
1,smaller hand show barri probabl lie knick game suck golf
0,good morn friday everyon weekend goodmorn friday girl florida
0,challeng aap claim 70 punjabi drugaddict dare prove
0,tracerequest send deepest condol orlando gay famili zimbabw gay commun hea touch
0,new selfi guy mato chapon
0,saturday afternoon chi meet friend
0,model take ur
0,so nut bolt bloke
0,aww yeah good bing bong bing bong
0,dawn 2 month see live excit vfest summer
0,35th bihday shane robe watson bihday shane watson australia cricker
1,point one finger million point right back jewishsupremacist
0,sad hear announc say may move player one two lead whoknow
0,radio1 go coldplay tonight oh ye
0,think like god come god keep
0,terrorist constitut right anoth excus republican appeas nra gun control measur
0,gloucesterrugbi
0,sad happen
0,everyon everyth sad togeth alon fine dandi lone exuber depress halfful halfempti
0,mikeashley sposdirectsham perhaps good exampl need protect workersright within europ euref remain
